"",gene_symbol,GSM1936737,GSM1936738,GSM1936739,GSM1936740,GSM1936741,GSM1936742,GSM1936743,GSM1936744,GSM1936745,GSM1936746,GSM1936747,GSM1936748,GSM1936749,GSM1936750,GSM1936751,GSM1936752,GSM1936753,GSM1936754
ENSG00000144445,KANSL1L,304.8628,263.8968,377.1204,644.4993,450.6776,423.2388,305.7395,286.7505,271.1922,298.9323,313.3162,395.618,350.1502,484.1923,662.8698,926.851,579.5472,639.5032
ENSG00000144451,SPAG16,267.7755,282.1895,169.4937,315.8555,162.0697,175.7351,296.2697,290.5971,205.9514,231.6461,236.1886,199.4031,329.9143,387.8841,285.4744,395.5833,233.2188,325.1654
ENSG00000144452,ABCA12,6.8737,4.4148,1.7208,4.5564,4.5888,3.5042,6.0951,6.1521,3.3902,1.137,3.4927,6.0564,4.5196,4.3755,4.5751,3.1345,6.7961,6.8332
ENSG00000144455,SUMF1,1508.2116,1321.5992,530.2181,1094.882,992.9141,981.6407,1275.2735,1365.4228,665.2403,669.9791,967.5903,1025.9554,1472.1259,1561.5478,926.6922,1037.4354,869.6253,979.3474
ENSG00000144460,NYAP2,7.2714,7.4049,15.0921,24.2047,13.6585,22.4212,6.4795,3.1592,8.0818,9.3824,8.2721,7.2144,9.5249,4.9419,11.3012,15.4311,10.2158,9.6869
ENSG00000144468,RHBDD1,1029.6977,941.1926,876.666,1712.9765,1199.719,1106.7772,1065.6959,1189.1079,1216.153,1005.0603,1284.7504,1287.1015,1062.6678,1312.4796,2607.7033,2993.9672,1302.0283,1415.8502
ENSG00000144476,ACKR3,91.9454,74.8537,61.2811,122.2421,120.9517,98.9195,75.5405,91.2855,102.2118,121.1619,107.0096,122.146,578.8877,510.7873,853.2608,862.4727,412.9508,412.4252
ENSG00000144481,TRPM8,5.4342,1.3187,16.9418,32.5601,8.0957,13.3425,10.5912,2.6313,8.5724,20.1524,4.1977,19.9831,4.3941,0.8734,20.3171,32.8782,9.4368,12.1412
ENSG00000144485,HES6,74.7036,69.0503,76.9911,107.1425,67.5933,57.7694,66.0805,46.9063,48.5738,41.3349,26.6676,37.8629,69.4249,74.0088,132.8678,122.2682,50.0165,68.6729
ENSG00000144488,ESPNL,136.3257,131.9428,106.9721,277.4889,124.8978,127.6487,118.5071,91.3386,130.7741,163.9812,126.3524,105.6753,152.6457,195.7171,266.7064,270.2207,110.6225,104.8126
ENSG00000144504,ANKMY1,166.4533,141.2809,133.0873,171.254,149.3968,82.149,152.9879,132.8554,76.5724,90.902,82.2145,95.4955,190.2565,216.9283,193.3895,300.3373,114.8768,126.3082
ENSG00000144524,COPS7B,1136.4646,1127.2651,1077.7282,2050.4522,914.2735,924.5449,1303.4387,1148.8806,1121.2757,1101.4457,988.415,913.4419,1407.8228,1483.0771,2242.385,2477.4783,1121.1205,1128.9544
ENSG00000144535,DIS3L2,691.0456,570.6638,546.7697,985.9535,503.7704,582.5469,663.4274,576.2478,719.0037,675.6189,723.5089,630.9816,694.7631,757.6827,1194.2165,1384.8205,805.6739,673.5062
ENSG00000144550,CPNE9,3.1724,0,0,3.0076,0,0,0.6927,0,0,0,0,3.0103,0,0.8368,2.0805,0.8289,0.6896,0.8295
ENSG00000144554,FANCD2,531.1794,557.459,400.9002,968.2513,516.3022,410.2069,1360.207,1482.427,961.6254,871.0662,964.7803,818.1532,830.3236,608.328,1184.639,1457.2152,535.7193,380.482
ENSG00000144559,TAMM41,231.0281,206.3243,138.7582,278.5954,221.5198,162.3216,306.3373,248.3313,198.2209,203.876,200.4106,208.2194,279.5439,211.3174,277.4588,359.5676,216.2434,210.4377
ENSG00000144560,VGLL4,1369.6614,1333.5391,1341.8812,2768.7207,1509.4557,1502.5594,1006.1128,966.7197,1138.659,1097.9962,954.667,1024.3038,1386.0532,1680.2284,2972.1614,3285.8228,1252.8882,1492.842
ENSG00000144566,RAB5A,3186.0402,2932.03,3215.4601,5968.7504,2873.9797,2815.2324,2904.7231,2880.6383,3066.1338,2807.692,2579.0515,2463.7641,2787.022,2934.6746,5568.8392,7039.4119,3061.9067,3630.4251
ENSG00000144567,RETREG2,2953.405,2916.4489,2904.6344,5842.0767,2779.4558,2782.2746,2786.2165,2906.2246,3352.5486,3364.3111,2612.5431,2584.2765,3560.6748,4041.201,6675.8417,7419.4502,3218.568,3253.7483
ENSG00000144579,CTDSP1,2416.5523,2577.1429,2192.2425,4436.5708,1907.4079,1852.68,1956.2206,1907.6133,2506.613,2483.7016,1473.6988,1464.3228,2973.7697,3051.5576,5253.8344,5489.7061,1876.4669,1928.6249
ENSG00000144580,CNOT9,1673.8049,1491.277,1614.4947,2887.4761,1406.6542,1596.335,2608.6922,2652.8662,2049.8826,2111.7809,1847.5779,2087.699,1915.0392,2052.6789,3588.2306,4653.3106,1620.0292,1786.3534
ENSG00000144583,MARCH4,2791.403,2749.6755,2258.5339,4538.7341,1841.2911,1907.8851,3477.1346,3591.8176,2821.4008,2724.88,2665.7703,2715.402,1417.5328,1573.7999,3618.2895,4270.0232,1071.7546,1157.5038
ENSG00000144589,STK11IP,494.9108,542.5428,400.0021,808.7006,515.0958,691.8514,498.6889,555.9745,397.2153,512.6093,553.3224,514.4039,702.1054,762.2415,935.0678,821.5949,665.4111,744.1937
ENSG00000144591,GMPPA,1903.0758,1677.299,1656.9303,3413.6906,1500.2588,1525.342,1661.393,1729.3893,2088.9382,2329.6024,1399.6273,1555.0558,1900.2299,1990.6589,3278.2395,3529.1371,1498.3237,1627.5853
ENSG00000144596,GRIP2,2.0145,4.1829,486.7108,851.6525,341.7644,311.1485,6.964,3.0034,417.4267,289.9237,248.4706,272.6717,4.6261,36.717,796.856,1004.732,265.8081,360.1137
ENSG00000144597,EAF1,939.5437,893.6911,929.4049,1987.1533,1207.0605,1138.0813,902.6526,940.4603,965.2004,869.4147,1019.5023,939.6377,799.5155,932.1501,2102.3868,2472.3126,1062.2919,1216.4475
ENSG00000144619,CNTN4,43.8881,28.2429,24.605,15.8071,10.9108,16.3403,23.977,80.4747,34.5115,21.2769,59.4879,51.7333,269.4259,293.9832,406.0926,543.3281,238.7789,283.1143
ENSG00000144635,DYNC1LI1,1839.9403,1760.4243,1989.4304,3740.5173,2595.1156,2364.5595,2219.572,2267.0076,2166.0862,2055.1618,2411.7858,2389.8941,2103.3502,2456.6789,4839.4602,5811.9976,2955.0708,3294.3634
ENSG00000144642,RBMS3,1287.1204,1301.2201,1546.3285,3288.2125,1644.4877,1782.5485,1817.1989,1574.7091,2102.0712,1737.5428,2316.3453,2104.4206,1311.2846,1539.3322,4119.1458,4674.2905,2366.2198,2782.8331
ENSG00000144644,GADL1,10.0184,4.1237,5.2415,15.2732,5.2724,2.2054,7.4961,10.2042,10.0452,7.134,11.0282,12.4243,9.064,5.8375,18.133,16.8157,5.5576,12.9835
ENSG00000144645,OSBPL10,1629.0895,1692.9848,1936.6549,3887.2097,1952.002,1914.2042,1036.8537,1178.2297,1390.6805,1229.9542,1226.2307,1267.0504,773.7636,687.7698,1640.8683,1841.2738,1068.9231,1190.5018
ENSG00000144647,POMGNT2,516.5319,471.9573,498.7411,966.0243,440.9048,450.074,539.4434,559.9768,930.5719,943.5922,636.6676,663.4752,665.0584,643.3688,1420.7547,1539.962,501.3346,577.6336
ENSG00000144648,ACKR2,10.0593,9.0353,5.7194,22.7462,9.4995,6.9089,13.3938,4.0344,6.8619,12.8992,8.0725,18.5334,13.5446,21.5226,14.8188,24.7123,21.614,12.7894
ENSG00000144649,FAM198A,11.5658,18.1613,11.0778,35.3985,11.6472,14.2365,9.017,13.9064,16.232,20.7472,14.2271,9.3521,19.4238,17.9325,30.6064,29.9723,2.2603,6.6137
ENSG00000144655,CSRNP1,1317.4373,1345.6534,2091.5534,4983.2626,3202.8855,3375.1684,1355.0026,1270.1698,1880.7026,2119.6368,2877.2896,2863.0481,1294.8455,1341.2525,4351.4577,5181.2626,2349.4075,2749.6145
